,Date,Snippet
39,20180816,Our guide to new art shows and some that will be closing soon.
40,20180810,"Hanging in the bedroom of her home in Southampton, N.Y., are 15 British-Indian botanical prints from the 19th century, a gift from Lee Radziwill."
41,20180810,"As exasperating as the debate about tech giants’ role in policing content may be for Americans, people in China can only dream of having such discussions."
42,20180810,"Having poured tens of billions of dollars into investments, Saudi Arabia’s Public Investment Fund is now facing some funding issues."
43,20180810,"To participate, just post a comment here by Aug. 17 at 7 a.m. Eastern. This week’s winners will be announced on Aug. 28."
44,20180810,New data offers a more nuanced look at this group beyond “white men without a college degree.” 
45,20180810,"We drove roughly 50 miles along Highway 20, from the firefighters’ base camp to the town of Clearlake Oaks, while the region was still under a mandatory evacuation order."
46,20180810,Did you stay up to date this week?
47,20180810,Slippery-slope fears about mass censorship by social media platforms are probably overblown. But many valid questions remain.
48,20180810,Here’s what you need to know to start your day.
49,20180809,"“Hate” is a dangerously elastic label. And it has long been used to demonize unpopular expression, particularly among people of color. "
50,20180807,"Indra Nooyi announced her plan to step down as PepsiCo’s C.E.O., as the number of women running S.&P. 500 companies continues to fall."
51,20180807,“Hate speech” is extraordinarily vague and subjective. Libel and slander are not.
52,20180807,"The longtime Hollywood executive sees a demand for high-quality bite-size content. Disney, NBC and Alibaba back his plan."
53,20180807,Republicans have deployed a polarizing message and millions of advertising dollars in an attempt to rescue what used to be a reliably conservative congressional seat.
54,20180807,Here’s what you need to know to start your day.
55,20180807,"The flaky dough is similar to that used in croissants and mille-feuilles, and the fillings run sweet to savory."
56,20180807,Victory may go to the side that best understands the other — and Americans would do well not to underestimate Chinese resolve.
57,20180807,Here’s what you need to know to start your day.
58,20180807,"After months of increasing their scrutiny, tech companies have deleted content from the right-wing provocateur Alex Jones."
59,20180806,"A customer and an employee were arrested at the salon on Friday. On Monday, dozens of people protested outside."
60,20180802,A look at how Apple’s trillion-dollar value stacks up against other companies and entire industries.
61,20180802,Steve Jobs said Apple was 90 days from bankruptcy in 1997. Now it is the first publicly traded American company to be worth $1 trillion.
62,20180802,"When an outlawed militant I was covering was killed in battle, I faced a choice: Do I go to his funeral, where there will surely be many very upset people, or not?"
63,20180802,"In “BlacKkKlansman,” Mr. Lee uses the true story of a black police officer infiltrating the Ku Klux Klan in Colorado in the 1970s to once again grapple with American racial terrorism."
64,20180802,There are still large barriers ahead if the company really does plan to launch search and news services in the country.
65,20180802,A fringe online movement makes a front-and-center appearance at a televised event for President Trump.
66,20180802,"Google’s digital maps have become the world’s default atlas and the arbiter of what neighborhoods are called, even when many residents disagree."
67,20180802,Benchmark stock indexes in Asia fell by more than 2 percent after the Trump administration said it would consider increasing proposed tariffs on Chinese goods.
68,20180802,"The Amazon chief executive has quietly been grooming a new image to go with his new status as rocket scientist, richest man in the world and potential Washington big shot."
69,20180802,Here’s what you need to know to start your day.
70,20180727,"A batch of new measurements of economic growth reveals changes in the nation’s savings rate, tweaks to cure the winter blues and how the sweet deal you got on that iPhone was better than you thought."
71,20180727,The Trump administration says hundreds of parents separated from their children at the border are “ineligible” for reunification. What does that mean?
72,20180727,"Thousands of migrants, many fleeing violence and poverty, are arriving at America’s southwestern border as the nation’s family separation policy continues to draw criticism."
73,20180727,Readers respond to recent issues of the Sunday Book Review.
74,20180726,Our guide to cultural events in New York City for children and teenagers happening this weekend and in the week ahead.
75,20180726,Our guide to new art shows and some that will be closing soon.
76,20180726,"India’s Aditya Birla Group agreed to buy Aleris, an American aluminum maker, for $2.6 billion after the Trump administration rejected a bid by a Chinese firm."
77,20180726,The European Union imposed a $5.1 billion penalty on Google last week. It is hard to find an antitrust expert who endorses the case’s logic or outcome.
78,20180726,Roughly $120 billion in wealth was wiped out as Facebook shares fell 19 percent. It was among the largest one-day destruction a company has ever suffered.
79,20180726,"A browser that’s set to compress or block images, ads and other bandwidth-hogging parts of a web page can save you megabytes."
80,20180719,"The race to surpass the symbolic market cap is Apple’s to lose, but Amazon is increasingly giving it some stiff competition."
81,20180719,"European Union countries are hiring thousands of staff, buying drones and preparing for huge delays as they gird for a worst-case scenario."
82,20180719,"The European Commission hit Google with a record antitrust fine yesterday, but the future will bring new antitrust fights in tech."
83,20180719,"Qualcomm’s chief executive, Steve Mollenkopf, needs Beijing’s regulatory approval to buy another chip maker, NXP. But a prolonged deal review by China is widely seen as retaliation for U.S. tariffs."
84,20180719,"Hours after the presidential summit meeting in Helsinki, news broke of the arrest of Maria Butina, a Russian woman charged with conspiring to influence American politics."
85,20180719,"The novelist Karin Slaughter, whose thriller “Pieces of Her” will be published in August, says school contests made her an insatiable reader: “I’m incredibly competitive, so perhaps my early reading passion came from wanting to humiliate my closes..."
86,20180719,"Keith McCurdy, the owner of Bang Bang, has transformed the body-art industry with his diverse hiring and high prices. Of course there’s a wait list."
87,20180718,"The movies and shows that have resulted from Hollywood’s superhero obsession provide a moving picture of America’s changing mores, one spandex costume at a time."
88,20180718,The United States government once invested mightily to build the modern world. Now it has abdicated that role to a foreign rival.
89,20180718,The latest version of Apple’s iOS software for the iPad tries to save you time with typing shortcuts — once you know what they are.
90,20180712,President Trump called U.S. allies “delinquent” on military spending and attacked Germany as “captive” to Russia. We examine the source of his frustration.
91,20180712,"What’s happening? Who cares. Meet JOMO, FOMO’s benevolent younger cousin."
92,20180711,Here’s what you need to know at the end of the day.
93,20180711,"As political tensions grow between the two nations, many of our readers in Canada said they were angry, bewildered and increasingly patriotic."
94,20180711,Apple’s new parental controls cut a teenager’s iPhone use in half. It wasn’t as effective on our personal tech columnist.
95,20180711,The latest trade measures by the Trump administration will leave Beijing searching for new ways to retaliate.
96,20180711,"In Part 4 of the series, the constructors Robyn Weintraub and Brad Wilber clue us in."
97,20180711,President Trump’s Supreme Court nominee once made the case for impeaching a president. He now says that was a mistake.
98,20180711,A great-granddaughter of Herbert Hoover and the new face of “Firing Line” is married to a centrist and CNN anchor. Can their union save the country? 
99,20180711,"Tech companies have changed the world by building answers to obvious questions — but now the obvious, pressing questions are about them."
100,20180706,"While many maintain a defiant tone, Chinese shoppers could get hurt as the trade war hurts exports and makes even basic types of food more expensive."
101,20180706,"Since President Trump ended the practice of separating migrant children from their parents, few families have been reunited. Those that have are becoming national symbols."
102,20180706,"Collections by Diane Seuss, Analicia Sotelo, Jenny George and Bianca Stone cast a wide net to capture and describe personal experience."
103,20180705,"The designation of an area of Flatbush sailed through, but the City Council delayed co-naming a street for Jean-Jacques Dessalines, who ordered whites massacred in 1804."
104,20180705,"Cynical producers have flooded the market with bad rosés to meet fad demand, but the wine panel found some excellent American bottles. "
105,20180705,"The popular, retro Queensland restaurant bakes many varieties in old-fashioned ceramic ovens."
106,20180705,"With trade disputes growing and new American tariffs on Chinese goods due Friday, some businesses have halted hiring, put off purchases or cut costs."
107,20180705,"The sense of place is as pervasive as a character in “Moss,” a film by Daniel Peddle."
108,20180705,"As prosecutors go after doctors, drug dealers and users, those who made billions of dollars from sales of a painkiller at the center of the epidemic have gone largely unpunished."
109,20180705,Can the world’s fastest growing trash stream help realize the utopian vision of a circular economy?
110,20180628,Adnan Januzaj curled in a left-footed shot in the second half to give Belgium a 1-0 victory over England.
111,20180628,"The purchase of PillPack, an online pharmacy, is the latest sign of Amazon’s increasing interest in health care."
112,20180628,"Map apps and websites have compiled quite a bit of outdoor cartography, but floor plans and diagrams for interior spaces are also available at certain locations."
113,20180628,"Thursday: A bill heads to the governor today as the industry shifts its approach, Justice Kennedy says he will retire, and Mexicans shower Koreans with adoration."
114,20180628,"Justice Anthony Kennedy will retire, which means companies can expect corporate cases to go their way for a generation."
115,20180628,"The retirement of Justice Anthony Kennedy, often considered the Supreme Court’s ideological center, could fundamentally change its direction."
116,20180628,"Classic architecture, international cuisine, adventurous activities and serious art: This Western New York city is blossoming."
117,20180628,"If institutional money managers decide to commit a fraction of their capital to a portfolio of cryptocurrencies, they might double the size of the sector."
118,20180627,"The two tech giants settled a seven-year legal fight, concluding a series of battles over smartphone patents with little to show for them."
119,20180627,"Ms. Nixon, who is challenging Gov. Andrew Cuomo in the Democratic primary, is seeking to draw parallels to Alexandria Ocasio-Cortez’s upset win."
120,20180623,"First, Germany was down a goal. Later, it was down a man. But with one swing of Toni Kroos’s right foot, it emerged with a stunning 2-1 victory over Sweden."
121,20180623,"A fabled family finds their showbiz portrayals “demonizing,” “disgusting” and unrepresentative of their super-L.G.B.T.Q. values."
122,20180622,"Believe it or not, some technologies are designed to boost your mood."
123,20180622,Seven baking-inclined contemporary artists share their go-to recipes for when they want to get their hands dirty in their kitchens.
124,20180622,"The 5-to-4 decision, in which the court said a warrant was generally needed to collect troves of the data, has implications for all kinds of personal information held by third parties."
125,20180622,"What they liked, what they hated, who was left out and more disagreement about “Mr. Burns.”"
126,20180622,"Apple includes plenty of security features to protect your data, but if you forget your passcode and can’t unlock the phone, you can still regain control."
127,20180622,"This week, tech companies weighed in on the separation of children from their migrant parents at the Mexico border. Here’s why tech has become more activist."
128,20180622,"Death cafes, death doulas, “Ask a Mortician,” DeathLab — once the province of goth subculture, death is having a moment in the sun."
129,20180622,"The 2018 World Cup is now underway in Russia. How it ended up there involves some names you might recognize: Comey, Mueller and Steele."
130,20180619,Theaters are posting notices that flashing lights in the hit Disney Pixar movie could cause seizures in some people with epilepsy.
131,20180618,"The streaming service Brown Sugar is packed with Blaxploitation movies, which brought a new and unapologetically black perspective to American cinema in the ’70s."
132,20180618,Here’s what you need to know at the end of the day.
133,20180618,"Using local ingredients, she defined modern Irish cuisine at a restaurant she created in an imposing Georgian house on a 300-acre farm in County Cork."
134,20180618,Here’s what you need to know to start your day.
135,20180618,"The company’s $550 million investment is another sign of how American tech giants still want to do business in China, despite the many hurdles."
136,20180618,"Caught in the trade fight between Washington and Beijing, Mr. Cook, the company’s chief executive, has become something of an envoy while trying to protect Apple’s business in China."
137,20180618,"Monday: Patrick Soon-Shiong takes ownership, the Mariposa Grove reopens in Yosemite, and Salesforce’s chief executive shares his thoughts on philanthropy."
138,20180618,President Trump has threatened for a year and a half to go after leakers. The seizure of emails and phone records from a Times reporter shows what that might look like.
139,20180618,Helen’s new life in Los Angeles seems perfect; Noah’s definitely does not. But things are rarely so simple in this show of shifting perspectives.
140,20180614,"He was pushed out of the White House and then Breitbart News. Now he is focused on cryptocurrencies, which he thinks can disrupt the financial world."
141,20180614,"Augmented reality may change entertainment as we know it. For Snapchat, the revolution starts with 15-second cartoons."
142,20180613,"Apple is closing a technological loophole that let authorities hack into locked iPhones, infuriating law enforcement officials and reigniting a debate over security versus privacy."
143,20180613,"The cable giant’s bid for the bulk of Fox’s businesses sets up a fight with Disney, which has already struck a $52.4 billion deal for Rupert Murdoch’s empire."
144,20180613,"Read the transcript for Part 4 of “Charm City,” an audio series about a Baltimore teenager known as Nook who was fatally shot by the police a year after the death of Freddie Gray. As Baltimore tried to start anew, a corruption trial exposed the st..."
145,20180613,"If your browser is suddenly full of pop-up ads or taking you to sites you didn’t request, you probably have a malware infection."
146,20180613,AT&T’s legal victory in the fight over its takeover bid for Time Warner means we can expect a flood of M.&A. in the coming months.
147,20180613,"In a joint statement, President Trump and the North Korean leader, Kim Jong-un, committed to denuclearization of the Korean Peninsula. Why is the promise being dismissed by critics as meaningless?"
148,20180613,"So what if the United States didn’t qualify for the 2018 World Cup? In New York you can eat, drink and watch the games with the Belgians or the Brits. Or wherever there’s a TV over the bar. Here's a handy guide to help you find your inner expat."
149,20180612,"A well-traveled print and broadcast reporter, he covered the biggest stories of his day, including the Vietnam War and the civil rights movement."
150,20180607,What our readers recommend and want more of — an Australia Letter everyone can love.
151,20180607,"If you’ve got the “right” job, race and gender, marketers use tracking to flatter you. If you don’t, tracking is is more likely to be used to exploit you."
152,20180606,"It has been a long time coming, but Apple could soon be worth $1 trillion — and counting."
153,20180606,How using fans and finding the right air-conditioner can make a difference at home.
154,20180606,Here’s what you need to know to start your day.
155,20180606,"Even “Sex and the City,” which I did not watch."
156,20180606,"Esa-Pekka Salonen closes his three-year New York Philharmonic composer residency on Friday with a one-night-only extravaganza of music, dance and art."
157,20180606,Is there such a thing as “gay cooking”? Daniel Isengart explores.
158,20180606,"Apple’s mobile gadgets may not need the same type of antivirus protection that desktop computers need these days, but there are other things you can do to protect your portable gear."
159,20180606,"European regulators reportedly are planning to fine Google over the dominance of its Android mobile operating system, underscoring that point yet again."
160,20180602,"Increasingly, the state sets the national agenda. But in the age of Trump, will its progressive politics unite or divide?"
161,20180602,"The Andaz Ottawa ByWard Market has sweeping views, a spare look and food with a Canadian focus."
162,20180602,"Vietnamese food isn’t new to Prague, but the complex technique and fancy setting on display at Taro are."
163,20180601,"Mexicans braced for some economic impact of a trade battle with the Trump administration, but the United States could be hurt as well."
164,20180601,"There seems to be a growing rift between the largest tech companies — Apple, Amazon, Google, Facebook and Microsoft — and the rest of the industry. Our tech columnist explains."
165,20180601,Dozens of Fortune 500 companies are voluntarily investing billions in wind and solar energy.
166,20180601,The election of Donald Trump spurred dozens of first-time candidates to run for Congress. Some of them now present a problem for the Democratic Party.
167,20180601,Summertime calls for delectable treats to satisfy both your sweet tooth and your literary spirit. Ben Denzer of @ice_cream_books creates pairings for the season.
168,20180601,The rapper’s eighth LP was a mystery until the moment he pressed play.
169,20180601,"Thrillers, romances, cookbooks, the great outdoors: We’ve got them, and more."
